� � � � � � Product ID,� � � � � � Product Name,� � � � � � Price,� � � � � � Discount(%),No. of Sells,� � � � � � City,� � � � � � SKU,Revenue,No of reviews,Country
391780667,Multi Color T Shirt For Men - Comfortable,90,55% Off,494,Dhaka,391780667_BD-1954935650,44460,6,BD
390104095,Bodro hobo Indispensable -Quality And Durablity -Bula jao Casual T-Shirt For Men - T Shirt For Man- Innovative Qualityful - Easy To care and Longive T Shirt,90,70% Off,737,Dhaka,390104095_BD-1947321519,66330,12,BD
389255983,Mens New Stylish Tshirt & Short Pent Combo,398,34% Off,605,Dhaka,389255983_BD-1940255191,240790,43,BD
391044280,Kal Thike vordo hobo New Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,99,50% Off,272,Dhaka,391044280_BD-1952491769,26928,15,BD
334125624,Always Smile Jersey T-Shirt For Man| Half Sleeve T Shirt For Men,97,61% Off,2000,Dhaka,334125624_BD-1625716529,194000,81,BD
391789959,Love T-shirt For Men and women Round neck Stylish,90,70% Off,112,Dhaka,391789959_BD-1954999144,10080,1,BD
392382108,2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts,90,64% Off,174,Dhaka,392382108_BD-1956906167,15660,4,BD
391039668,2 pis combo casual Printed T Shirt For Men,199,43% Off,244,Dhaka,391039668_BD-1952491718,48556,14,BD
394316531,Summer Exclusive Black Printed Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Men,380,42% Off,96,Dhaka,394316531_BD-1962483168,36480,6,BD
392383607,Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt,90,63% Off,151,Dhaka,392383607_BD-1956976117,13590,6,BD
247191593,Stylish Cotton Half Sleeve T-Shirt For Men,188,58% Off,3500,Dhaka,247191593_BD-1926009609,658000,241,BD
300361313,Complete Your Wardrobe with a Black Cotton Combo T-Shirt & Pant for Men - T-Shirt & Trouser Pant for Men - Very Comfortable and Fashionable,437,27% Off,4200,Dhaka,300361313_BD-1334495098,1835400,384,BD
387650222,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,81,Dhaka,387650222_BD-1933123077,27135,6,BD
391044172,Smart Tshirt For Men - T Shirt For Man - T Shirt,99,50% Off,45,Dhaka,391044172_BD-2078294190,4455,6,BD
346218154,Black T-Shirt And 2 Quarter Pant For Men,246,38% Off,3700,Dhaka,346218154_BD-1694250523,910200,184,BD
391807323,Love Desing Soft & Comfortable T-shirt For men new 2024,90,64% Off,315,Dhaka,391807323_BD-1954989930,28350,6,BD
387637905,Summer Printed Combo T-Shirt & Pant For Men,328,50% Off,35,Dhaka,387637905_BD-1933127048,11480,2,BD
392383165,Premium Quality - Stylish New T Shirt - Casual New T-shirt Fabric soft and com fortable - T Shirt For Man,90,64% Off,69,Dhaka,392383165_BD-1956913082,6210,A,BD
395150208,New summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt,323,54% Off,49,Dhaka,395150208_BD-1964916578,15827,1,BD
387713365,New Stylish T-shirt for men // No Girl Friend T-Shirt,220,27% Off,119,Dhaka,387713365_BD-1933467334,26180,3,BD
356003754,Brazil 5 star  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,99,51% Off,3000,Dhaka,356003754_BD-1751493665,297000,170,BD
394493725,no girls Premium Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,96,46% Off,1600,Dhaka,394493725_BD-1962870169,153600,50,BD
390374720,Premium Cotton Casual Polo T-shirt for Men -  T Shirt For Men,199,N/A,77,Dhaka,390374720_BD-1949799601,15323,2,BD
316296556,T-shirt for men premium quality. 1,175,73% Off,8200,Rajshahi,316296556_BD-1877385117,1435000,913,BD
391780443,T-SHIRT dream smile design Sky blue colour,90,55% Off,64,Dhaka,391780443_BD-1954907360,5760,1,BD
387642703,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,29,Dhaka,387642703_BD-1933115769,9715,3,BD
271309266,Combo Set - T-Shirt and Trouser for Men - Soft Fabric and Comfortable Ensemble,,,,,,,,
298752868,Stylish Addition - New Stylist Printed Cotton Haf Sleeve T Shirt For Men Haf Sleeve T Shirt For Men - T Shirt - Modern - Choice Expression,200,52% Off,1000,Dhaka,298752868_BD-1954515957,200000,71,BD
391044204,New Jarsy  Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,89,55% Off,46,Dhaka,391044204_BD-2075463247,4094,1,BD
391771266,Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,90,63% Off,39,Dhaka,391771266_BD-1954892709,3510,A,BD
391812408,premium Quality T shirt for mens,139,54% Off,35,Dhaka,391812408_BD-1955019201,4865,4,BD
392384593,New Best Save Palestine Synthetic T-Shirt for Men,90,72% Off,12,Dhaka,392384593_BD-1956973108,1080,1,BD
